, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
787,0.04,0.0,1.89,0.11,0.08,0.36,0.01,0.68,0.0,0.04,0.06,0.32,0.02,0.02,0.04,0.28,0.2
788,0.01,0.2,1.42,0.38,0.0,0.67,0.17,0.43,0.0,0.04,0.08,0.28,0.02,0.02,0.23,0.26,0.45
789,0.0,0.2,1.35,0.33,0.02,0.76,0.17,0.42,0.0,0.1,0.14,0.24,0.02,0.04,0.23,0.28,0.37
790,0.0,0.2,1.26,0.27,0.02,0.87,0.17,0.3,0.0,0.08,0.14,0.11,0.0,0.03,0.37,0.3,0.34
791,0.0,0.0,1.34,0.0,0.02,0.72,0.0,0.39,0.0,0.08,0.05,0.11,0.0,0.05,0.32,0.41,0.06
792,0.0,0.0,1.31,0.0,0.0,0.63,0.0,0.34,0.0,0.0,0.0,0.2,0.0,0.02,0.53,0.48,0.06
793,0.0,0.0,1.22,0.0,0.0,0.66,0.0,0.37,0.0,0.0,0.0,0.42,0.0,0.02,0.59,0.64,0.0
794,0.0,0.0,1.18,0.0,0.0,0.6,0.0,0.41,0.0,0.0,0.0,0.56,0.0,0.0,0.62,0.61,0.0
795,0.0,0.0,1.08,0.04,0.0,0.79,0.0,0.5,0.0,0.0,0.0,0.55,0.0,0.03,0.59,0.79,0.0
796,0.0,0.0,1.36,0.13,0.11,0.98,0.01,0.56,0.0,0.0,0.0,0.5,0.0,0.05,0.6,0.85,0.0
797,0.0,0.0,1.55,0.13,0.25,1.08,0.01,0.52,0.0,0.0,0.0,0.46,0.02,0.05,0.54,1.04,0.0
798,0.01,0.0,1.77,0.1,0.41,1.21,0.01,0.37,0.0,0.0,0.0,0.42,0.07,0.02,0.5,0.84,0.0
799,0.02,0.43,1.26,0.15,0.29,0.87,0.0,0.2,0.0,0.0,0.15,0.46,0.07,0.06,0.45,0.5,0.0
800,0.08,0.43,1.49,0.15,0.36,0.92,0.0,0.27,0.0,0.0,0.15,0.39,0.15,0.06,0.54,0.51,0.0
801,0.07,0.43,1.55,0.15,0.28,0.85,0.02,0.32,0.0,0.0,0.17,0.37,0.1,0.06,0.67,0.48,0.0
802,0.13,0.0,1.99,0.0,0.39,1.09,0.02,0.45,0.0,0.0,0.02,0.16,0.1,0.0,0.69,0.55,0.0
803,0.07,0.0,1.69,0.0,0.25,0.78,0.02,0.41,0.0,0.0,0.02,0.3,0.0,0.0,0.49,0.28,0.0
804,0.07,0.0,1.56,0.0,0.23,0.45,0.0,0.41,0.0,0.0,0.0,0.4,0.0,0.01,0.22,0.12,0.0
805,0.0,0.0,1.24,0.0,0.19,0.26,0.0,0.28,0.0,0.0,0.07,0.61,0.0,0.03,0.03,0.1,0.0
806,0.0,0.0,1.16,0.0,0.23,0.21,0.0,0.16,0.0,0.0,0.13,0.59,0.0,0.05,0.04,0.14,0.0
